#	Company	Website
54	Daniels Shopping Complex	daniels.com.mt
55	Duke Shopping Mall	thedukegozo.com
56	Gallarija Shopping Centre	gallarija.com
57	Salvo Grima Group	salvogrima.com
58	M. Demajo Group	demajo.com
59	V.J. Salomone Group	vjsalomone.com
60	Gasan Group	gasan.com
61	Mizzi Organisation	mizzi.com.mt
62	Hili Ventures	hiliventures.com
63	Fruitland Company	fruitland.company
64	Bigbon Group	bigbon.com.mt
65	DIZZ Group	dizz.com.mt
66	Retail International Group	retailinternational.com.mt
67	Forestals Group	forestals.com
68	Crosscraft	crosscraft.com.mt
69	AtoZ Electronics	atoz.com.mt
70	Scan (PC Options Ltd)	scanmalta.com
71	J.B. Stores Ltd	jbstores.com
72	Toly Products	toly.com
73	Golden Harvest Manufacturing	goldenharvest.com.mt
74	Maypole Group	maypole.com.mt
75	Miracle Foods	miraclefoods.net
76	Quality Foods (Marketing) Ltd	qualityfoods.com.mt
77	Alfred Gera & Sons Ltd	alfredgera.com
78	Charles Darmanin & Co Ltd	darmanin.com.mt
79	Ignazio Anastasi Ltd	ianastasi.com
80	V&F Portelli & Sons	vfportelli.com
81	BT Commercial Ltd	btmalta.com
82	Miller Distributors Ltd	millermalta.com
83	P.J. Sutters	pjsutters.com
84	MacBake	macbake.com
85	Chain Supermarket	chainsupermarket.com
86	Eurospin Malta	eurospin.it
87	OLA Energy	olaenergy.com
88	Enemed Co Ltd	enemed.com.mt
89	J. Calleja Import & Export	jcalleja.com
90	Joseph Borg Ltd	josephborg.com
91	Joseph Hili & Sons	josephhili.com
92	Intercol Trading	intercol.com.mt
93	MINT Health Ltd	mint.com.mt
94	Guido Vella Cash & Carry	guidovella.com.mt
95	Neriku Catering	neriku.com
96	The Food Factory	thefoodfactory.com.mt
97	James Caterers	jamescaterers.com
98	Rimus Riley Ltd	rimus.com.mt
99	Federated Mills p.l.c.	federatedmills.com.mt
100	G. S. C. Trading Ltd	gsctrading.com.mt
101	D.B. Imports	dbimports.com.mt
102	Paul Tonna Son Of Santu	paultonna.com
103	Alcom Enterprises	alcom.com.mt
104	The Hardware Store	hardware.com.mt
105	Tomorrow's Home Ltd	tomorrowshome.com.mt
106	Swaey Bros Ltd	swaeybros.com
107	Banju Boutique	banju.com.mt
108	LTC LED Lighting	ltc.com.mt
109	OK Home	okhome.com.mt
110	JYSK Malta	jysk.com.mt
111	Artex Interiors	artex.com.mt
112	Sterling Jewellers	sterlingjewellers.com.mt
113	Classic Group	classicgroup.com.mt
114	202 Jewellery	202jewellery.com
115	Vascas Enterprises	vascas.com.mt
116	Gagliardi	gagliardi.eu
117	Trilogy Ltd	trilogy.com.mt
118	Charles Grech & Co Ltd	charlesgrech.com
119	P. Cutajar & Co Ltd	pcutajar.com.mt
120	Attard & Co	attardco.com
121	Bortex Group	bortexgroup.com
122	Tigné Point Marketing	tignepoint.com
123	United Department Stores	united.com.mt
124	Marks & Spencer Malta	marksandspencer.com.mt
125	Zaman Services	zamanservices.com
126	C&H Bartoli Ltd	chbartoli.com
127	W. J. Parnis England	parnisengland.com
128	Gollcher Co Ltd	gollcher.com
129	S. Rausi p.l.c.	rausi.com.mt
130	Fexserv Financial	fexserv.com
131	Eurobridge Logistics	eurobridge.com.mt
132	Fahrenheit Freight	fahrenheit.com.mt
133	Chetcuti Cauchi Advocates	ccmalta.com
134	JV Pharma	jvpharma.eu
135	Medik Malta	medikmalta.com
136	M&W Marketing	mwmarketing.com.mt
137	Siegfried Malta	siegfried.ch
138	Actavis International	teva.com
139	Cherubino Ltd	cherubino.com.mt
140	Propharma Ltd	propharma.com.mt
141	Lykos Pharma	lykos.com.mt
142	Synapse	synapse.com.mt
143	Evolve Ltd	evolve.mt
144	Pharma.MT	pharmamt.com
145	Technoline Ltd	technoline-mt.com
146	Mika Ltd	mika.com.mt
147	Festa Ltd	festa.com.mt
148	Interjeans Ltd	interjeans.com.mt
149	Anteprima Brands	anteprima.com.mt
150	La Nouvelle (Malta)	lanouvelle.com.mt
151	Darmanin Footwear	darmanin.com.mt
152	Zammit La Rosa Footwear	zammitlarosa.com
153	Model Shop	modelshop.com.mt
154	Victoria City Centre	victoriacitycentre.com
155	Bonnett's Bakery	bonnetts.com.mt
156	Juuls	juuls.com.mt
157	Beer Head	beerhead.com.mt
158	Farsons Direct	farsonsdirect.com
159	Vini e Capricci	viniecapricci.com
160	Master Cellar	mastercellar.com.mt
161	Hansons	hansons.com.mt
162	Petworld	petworld.com.mt
163	Borg Cardona & Co	borgcardona.com.mt
164	Wembley Store	wembleystore.com
165	C. Camilleri & Sons	tal-camilleri.com
166	Busy Bee	busybee.com.mt
167	Elia Caterers	eliacaterers.com
168	Sphinx Pastizzeria	sphinx.com.mt
169	McMifsud	mcmifsud.com
170	Weldon	weldon.com.mt
171	Soap & Glory Malta	soapandglory.com.mt
172	Lucy World	lucyworld.com.mt
173	Niazo	niazzo.com
174	Souvenirs That Don't Suck	souvenirsthatdontsuck.mt
175	Heartspace	heartspace.mt
176	Serenata Flowers	serenataflowers.com.mt
177	Gift Hampers Malta	gifthampers.com.mt
178	ZeroBubble	zerobubble.mt
179	M.A. & A. Services	maaservices.com.mt
180	A.G.S. Company	ags.com.mt
181	2I Ltd	2i.com.mt
182	Aeco Telecom	aeco.com.mt
183	Tamoil	tamoil.com.mt
184	Falzon Group	falzongroup.com
185	Blye	blye.com.mt
186	Kayaworld	kayaworld.mt
187	MI Select	miselect.mt
188	Take Off	takeoff.com.mt
189	Talocan Ltd	talocan.mt
190	Vnoska	vnoska.mt
191	Ardevur Commodities	ardevur.com
192	Creative Refurbishing	cr-malta.com
193	FarMandara	farmandara.com
194	SkylineCity	skylinecity.mt
195	essDOCS	essdocs.com
196	Orim Holding	orim.com.mt
197	Erdal Trading	erdal.com.mt
198	G.P. Borg Ltd	gpborg.com.mt
199	Thomas Smith Shipping	tcsmith.com
200	Malta Public Transport	publictransport.com.mt
201	Melita Limited	melita.com
202	Enemalta p.l.c.	enemalta.com.mt
203	PAMA Shopping Village	pama.com.mt
204	PAVI Supermarket	pavi.com.mt
205	Class Optical	classoptical.com
206	Methode Electronics	methode.com
207	Playmobil Malta	playmobil.com.mt
208	AirX Charter	airx.aero
209	KM Malta Airlines	kmmaltairlines.com
210	Medavia	medavia.com
211	Atlas Insurance	atlas.com.mt
212	Elmo Insurance	elmoinsurance.com
213	GasanMamo Insurance	gasanmamo.com
214	MMH Malta Ltd	mmh.com.mt
215	Sparkasse Bank Malta	sparkasse-bank-malta.com
216	FCM Bank Ltd	fcmbank.com.mt
217	Multitude Bank p.l.c.	multitudebank.com
218	Merkanti Bank Ltd	merkantibank.com
219	IIG Bank (Malta) Ltd	iigbank-malta.com
220	BNF Bank p.l.c.	bnf.bank
221	Trafigura Holdings Ltd	trafigura.com
222	Aptiv Malta Holdings	aptiv.com
223	Binance	binance.com
224	Lufthansa Technik Malta	lufthansa-technik.com
225	VistaJet Limited	vistajet.com
226	STMicroelectronics (Malta)	st.com
227	Wizz Air Malta	wizzair.com
228	Tamoil Africa Holdings	tamoil.com
229	Baxter Healthcare Holding	baxter.com
230	Kindred Group	kindredgroup.com
231	Betsson Group	betssongroup.com
232	Evolution Malta	evolution.com
233	Tipico Group	tipico-group.com
234	LeoVegas Gaming p.l.c.	leovegasgroup.com
235	King.com Ltd	king.com
236	Kaizen Gaming	kaizengaming.com
237	Casumo	casumo.com
238	BML Group Ltd	betsson.com
239	Rootz Ltd	rootz.com
240	TSG Interactive	pokerstars.com
241	Videoslots	videoslots.com
242	Playtech	playtech.com
243	NetEnt	netent.com
244	Hotjar	hotjar.com
245	Chiliz	chiliz.com
246	Foundever	foundever.com
247	Premier Capital p.l.c.	premiercapital.com.mt
248	Attard Bros Group	attardbros.com
249	Vassallo Group	vassallogroupmalta.com
250	Bonnici Bros Ltd	bonnicibros.com
